disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
568,Pneumonia,Viral,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Listeria monocytogenes,Mumps
569,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"impact, clear, age","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Pseudomonas aeruginosa,Measles
570,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Clostridium tetani,Ebola
571,Leprosy,Metabolic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Streptococcus pneumoniae,SARS-CoV-2
572,Pneumonia,Bacterial,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Salmonella enterica,Hepatitis B
573,Hypertension,Bacterial,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Shigella dysenteriae,Polio
574,Hypertension,Genetic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Proteus mirabilis,Rabies
575,Diabetes Mellitus,Parasitic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Borrelia burgdorferi,Hepatitis B
576,Tuberculosis,Viral,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Salmonella enterica,HIV
577,COVID-19,Parasitic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Shigella dysenteriae,Rotavirus
578,Leprosy,Parasitic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Klebsiella pneumoniae,Influenza
579,Zika,Parasitic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Bacillus anthracis,Influenza
580,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Clostridium tetani,Ebola
581,Ebola,Bacterial,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Salmonella enterica,Rotavirus
582,COVID-19,Genetic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Proteus mirabilis,Influenza
583,Asthma,Viral,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Salmonella enterica,SARS-CoV-2
584,Asthma,Bacterial,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Klebsiella pneumoniae,Measles
585,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Treponema pallidum,Zika
586,HIV/AIDS,Viral,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Corynebacterium diphtheriae,Influenza
587,Meningitis,Genetic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Escherichia coli,Epstein-Barr
588,Polio,Bacterial,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Bacillus anthracis,Marburg
589,HIV/AIDS,Viral,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Pseudomonas aeruginosa,Polio
590,Ebola,Bacterial,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Klebsiella pneumoniae,Hepatitis B
591,Measles,Parasitic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Salmonella enterica,Influenza
592,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"minute, available, according, social","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Listeria monocytogenes,Herpes simplex
593,Hypertension,Metabolic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Borrelia burgdorferi,Ebola
594,Dengue,Metabolic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Salmonella enterica,Ebola
595,Chickenpox,Metabolic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Mycobacterium tuberculosis,Polio
596,Influenza,Bacterial,A disease affecting humans. Further research may be required for specific details about Influenza.,"hotel, research, me","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Staphylococcus aureus,Ebola
